"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"Raw26",0.00117428972046566,-0.0351185050355714,-0.00449412277441618,0.11585884774673,-0.121956984895885,0.0101859215262683,0.0261890512861446,-0.0447562449405756,0.0537330786687623,-0.00527379719456412,-0.0265485724714843,-0.0322194695072423,-0.0112059193966658,0.0366322217651323,-0.0043196422319262,-0.0454765871907274,0.0551748205844926,-0.061046078306425
"Raw27",0.0146188306461659,0.0118828210095438,-0.0249363839380953,0.0217735504283847,0.0228827742004754,0.0246543093250738,-0.00713842743236921,-0.0192569320099007,0.0367012543946398,-0.025955349224212,0.0117514461262607,-0.00953213305126829,0.0740202341012606,-0.0447087831312592,0.0334707956917951,0.00808797264066692,0.0460694928340752,-0.0236688807730853
"Raw28",-0.014104091662843,-0.021252686524486,0.0105571160202482,0.00526764151333902,-0.0561857931064557,0.0155557729334906,-0.0303720353944121,0.0479985750347043,-0.0463659204131848,0.0295465075924343,-0.0544417736836749,0.0174867609846715,0.0412621091007949,0.0234834507106237,-0.000904704289612244,0.00976217993598858,0.00264043778845424,0.00639255771917989
"Raw29",-0.0140302302360045,-0.0955591567426928,0.0648464786486457,0.0157996747335926,-0.0465909925050245,0.0644970135909811,-0.0221680984158679,0.00113006174443277,0.00807044382052482,-0.0109810498837653,0.0087214436225746,-0.0208101196543278,-0.0426769001745362,-0.0129748067768944,0.00932005268829235,-0.0731711517166398,-0.0424429828932996,0.0146656677976901
"Raw30",-0.0244732856405481,0.00723940081638207,-0.00607946276546384,-0.0213346380537343,0.0271497948705288,-0.000148046690812884,-0.0136726769942138,-0.0555945838596572,0.0178577705217223,-0.0186266769827663,-0.039983307483932,0.0356882150919816,0.0815869145014836,-0.00646407166116571,-0.0187377028767688,0.00878563117350359,0.0444493412853688,-0.0205791185673591
"Raw31",-0.0521947298302735,-0.0548032021224033,0.0789951044989992,-0.0788045798302016,-0.0200165388829951,-0.00208449564343585,0.0127102898445982,0.0206210452919424,-0.0486705043625045,0.106657954562335,-0.00396801668224264,-0.00278502070480592,0.0151828735400825,-0.00801549721740616,-0.00684346651716026,-0.0837748680430322,0.0294076502150252,-0.0252664319317819
"Raw32",0.0133605869915366,0.0187247043420736,-0.049578981143648,0.041476364378943,-0.00995562053877307,0.0415285308747129,0.0258663438099991,-0.0304043743687697,0.0368481071862043,-0.0375240836195277,-0.00388322578327966,-0.0549318249838733,0.0633745618270437,-0.00486803563297666,0.0356148361420563,0.0146697413532339,0.0485451209623523,-0.0459108376249497
"Raw33",-0.0883915607788342,0.0110865929570172,0.0017940760579048,0.00302901400977826,-0.0048946541563688,-0.0600426356895859,0.0156957242234913,-0.0196756439776787,0.0269224836525521,-0.00588610858340174,0.039314297252328,0.0666135812132036,0.00228530525202522,-0.0201608159723837,-0.0139800079532051,0.00763898838372367,0.0165890856730472,0.0343703771252089
"Raw34",-0.0144356676706911,0.0244301910809366,-0.0342381140194816,0.0150771117787582,0.0453871960788284,-0.000788437020160879,-0.00460062315063425,-0.0287892819213565,0.0350202193864845,-0.0846921321396061,0.0626660452913695,-0.0175011953463916,0.0390943823410994,-0.080865601123673,0.0655905895608638,-0.050024821104039,-0.0165125559024597,0.0412506172575804
"Raw35",0.0302971759189527,0.0215083438645476,-0.00662479813967845,-0.00412575580235332,0.0523163166435155,-0.0243506718312797,0.0883824950261633,-0.00672716554191888,0.00789158326348879,-0.0264527553119619,0.00168315006566429,-0.0423179005399307,0.0322181051456487,-0.00841771455140478,-0.000804679589106206,0.0587933221284998,-0.0605232776990899,0.0638578377745281
