"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"Raw10",0.0303677687370374,0.116527855894198,-0.118136288607534,0.00123817995881142,0.0127376810866927,-0.0391358541581171,0.0415320747313236,-0.029678179035687,0.0417473641510399,-0.109029131590683,0.0610502674131748,-0.0147632760952862,-0.00310922435946716,0.00971625260665103,0.0274734192208227
"Raw11",0.00548654304560226,-0.0118141675531209,0.0121581213149513,-0.0107786732228342,0.0144097760364616,-0.00690831475795646,0.00450949383754015,-0.0290896742848444,0.0379277651248323,-0.0258114614140675,0.0198408582366168,-0.0168551487327671,-0.00527511498943874,-0.00453823986181634,-0.00424415286754731
"Raw12",0.0206520101687971,0.00925016298755958,-0.0071350215213529,0.0120314576379104,-0.00852595331990013,0.0198027103805469,-0.0217520003057443,0.0649447104728705,0.00209731940538454,0.0201754784254199,-0.0155986731994726,0.0414030318360275,-0.0554557517422548,-0.0429861409944152,0.0291342825697705
"Raw13",-0.0428237140874807,0.0735575547355711,-0.109583310528631,-0.0164148360434631,0.0132945671226891,-0.00168533822112642,-0.00530933233623404,-0.0221376232965647,-0.00531386932715968,0.0183189023733855,-0.0180380128076986,-0.0766148829784992,0.0837711499940983,0.0161536700056787,-0.0263243291054303
"Raw14",0.0235381013383879,0.0608295295389032,-0.0628430542591659,-0.084790445585219,0.0881832753200755,-0.0327463548468013,0.0272553407103293,-0.0402614477048927,0.00975369083603993,0.00790555249983265,0.025933632268687,-0.00700284814547886,0.0356953053468924,-0.0610838681949746,0.0254879580367758
"Raw15",0.0107142418019926,-0.0325716387455742,0.00449858971188322,-0.0136606539176018,0.0149045709570719,0.0805580931028655,-0.0839334541340236,-0.0584263156916033,0.0951675106510165,-0.0267933967293725,-0.0220502824640734,0.0388617949385132,-0.0978761249609865,-0.017986758837944,0.020704021382789
"Raw16",0.0157648648462546,-0.0125473524394891,0.00202774544560317,-0.0284237137292897,0.0321819612172697,0.0184200833015626,-0.015926504710383,0.018234119391911,-0.0130820311204424,-0.038592927667893,0.0195496776646687,-0.0314008449361764,0.0627691017903718,-0.0123334931656727,0.0167726258794052
"Raw17",0.0176345050986607,0.0463008379276835,-0.0439743459231446,0.0321583672033904,-0.0301666000410527,-0.0726003964630794,0.0690531388846966,-0.00340537195927658,-0.00800950481374091,-0.026726856376402,0.0112813330891344,-0.0225306976287878,-0.00271319307034196,-0.0293604301302789,0.0228314158836081
"Raw18",0.0407099712572906,0.0208309968501735,-0.00513070668801981,0.0110838381598729,-0.0116748307090459,-0.0882039729896932,0.0920967998794241,0.00433905333086328,-0.0265668694333456,0.018586439984514,0.012410955404903,0.0129414844664301,0.0240193410316297,0.0150773281492794,-0.00546589630300414
"Raw19",0.0510851645852806,0.0353857324299084,-0.0370443099219198,0.00732896315943366,-0.0121600188193648,0.0438439714783998,-0.0433522614788602,0.0489204146378771,-0.0310369977787301,0.0506533024526341,-0.0429775559140902,-0.0292672346310522,8.7228707188267e-05,-0.0473075799470006,0.0595642196775737
